title,ref,abstract,tmp,type,date,country,checked
"Personality Traits, Metabolic Control and the Use of Insulin Pump Functions in Adults With Type 1 Diabetes: An Observational Single-Visit Study.",[Pubmed](https://pubmed.ncbi.nlm.nih.gov/33325007/),"
While a few studies have assessed the association between personality and metabolic outcomes in children and adolescents with type 1 diabetes (T1DM), there have been none in adults or in subjects treated with insulin pumps, and hypoglycaemic episodes have not been considered in these studies. The aim of this observational single-visit study was to assess the association between personality traits and metabolic control, hypoglycaemic episodes and insulin pump use in adult T1DM patients.
Data were obtained from 52 adults with T1DM treated in a tertiary care centre (no complications or comorbidities; aged 27 ± 8 years; diabetes duration of 12.8 ± 6.8 years; treated with insulin pumps for 6.3 ± 0.4 years). ""Big Five"" personality traits (neuroticism, extraversion, openness, agreeableness and conscientiousness) were assessed using the NEO-Five Factor Inventory questionnaire. Data on HbA1c, blood glucose levels, frequency of glucose testing, the number of hypoglycaemic episodes (< 3.9 mmol/l), basal and prandial insulin doses, and the number and types of boluses in the last 14 days were obtained from the insulin pumps and glucometers.
The mean levels of the assessed parameters were: HbA1c 7.2 ± 1.2% (55.0 ± 13.1 mmol/mol), episodes of hypoglycaemia 7.0 (3.00-9.75) and glucose tests per day 7.3 ± 3.9. All personality traits showed average intensity. None of the traits were associated with HbA1c, glycaemia, number of glucose tests, or number or kind of insulin boluses. Conscientiousness was the only factor associated with the incidence of hypoglycaemia in both univariate (r =  + 0.46, p < 0.001) and multivariate (β =  + 0.41, p < 0.001) analyses.
Despite results reported for children and adolescents, personality traits of adult patients with T1DM were not essential for metabolic control assessed by HbA1c or for the use of insulin pump functions; however, higher conscientiousness may be related to more frequent hypoglycaemic episodes. Extrinsic factors should be searched as more relevant for metabolic control and proper use of very expensive insulin pump therapy.
",Double click,ObservationalStudy,2020.0,United States,Done
Managing Type 1 Diabetes among Saudi adults on insulin pump therapy during the COVID-19 lockdown.,[Pubmed](https://pubmed.ncbi.nlm.nih.gov/33310178/),"
The coronavirus disease 2019 (COVID-19) pandemic has affected people's lives including patients with type 1 diabetes mellitus (T1DM). We aimed to investigate the impact of the COVID-19 lockdown on psychological status, self-management behaviors, and diabetes care maintenance among Saudi adults with T1DM using insulin pump therapy.
This cross-sectional study used a web survey to collect data on Saudi adults with T1DM who were treated in the specialized insulin pump clinic at King Abdulaziz Medical City-Jeddah, Saudi Arabia. We used the Patient Health Questionnaire-9 and General Anxiety Disorder-7 scales to measure depression and anxiety.
Of the 70 patients who received the survey, 65 completed it. Overall, 23.1% and 29.2% of the patients reported moderate to severe and mild depression, respectively; 18.5% and 24.6% reported moderate to severe and mild anxiety, respectively. Compared with pre-lockdown, adherence to a healthy diet and regular physical activity decreased in 67.7% and 41.5% of the patients, respectively. Most patients maintained their adherence to insulin pump behaviors; frequent self-monitoring of blood glucose increased in 47% of glucometer users. Most patients benefited from phone visits or virtual education sessions, but 66.2% of the patients reported difficulty obtaining at least one type of insulin pump supply.
Promoting self-management behaviors and psychological wellbeing of patients with T1DM using insulin pump therapy is crucial during a lockdown. Telemedicine is a useful alternative to in-person appointments, but strategies to ensure that patients have access to adequate resources during lockdown must be developed.
Copyright Â© 2020 Diabetes India. Published by Elsevier Ltd. All rights reserved.
",Double click,ObservationalStudy,2020.0,Netherlands,Not done
Glycaemia and utilisation of technology across the lifespan of adults with type 1 diabetes: results of the Australian National Diabetes Audit (ANDA).,[Pubmed](https://pubmed.ncbi.nlm.nih.gov/33310120/),"
To evaluate the utilisation of technologies and associated glycaemia among adults with type 1 diabetes.
De-identified data from adults with type 1 diabetes (≥18 years old) in the Australian National Diabetes Audit (ANDA)-2019 were analysed. Proportions using insulin pumps or injections with continuous glucose monitoring (CGM) or capillary-glucose testing were compared. Technology use among adults was compared to young people (<21 years old) with subsidised CGM. Glycaemia and complication-burden were assessed across management strategies.
1,693 adults were analysed. Mean(±SD) age, diabetes duration, and HbA1c were 43.3±17.0 years, 20.3±14.3 years and 8.4%±1.7 [68±19mmol/mol], respectively. Among adults, 40% used at least one device, 27% used insulin pumps, and 23% used CGM. CGM was used by 62% of young people with subsidised access. Mean HbA1c was consistently lower among adults using CGM, insulin pumps, or combined insulin pump and CGM compared to standard care (8.3%±1.6 [67±18mmol/mol], 8.2%±1.4 [66±15mmol/mol], and 7.8%±1.4 [62±15mmol/mol] respectively compared to 8.6%±1.8 [70±20mmol/mol], p<0.001). Technology use was not associated with diabetic ketoacidosis but CGM was associated with more hypoglycaemia.
Government subsidy is an important consideration for utilisation of technologies among adults with type 1 diabetes. Technology use across the adult lifespan was associated with lower HbA1c than insulin injections and capillary-glucose testing.
Copyright © 2020. Published by Elsevier B.V.
",Double click,ObservationalStudy,2020.0,Ireland,Done
Association of family structure with type 1 diabetes management and outcomes in adolescents: a population-based cross-sectional survey.,[Pubmed](https://pubmed.ncbi.nlm.nih.gov/33259124/),"
Diabetes therapies have enormously changed during past decades, but only few studies have analyzed the association between family structure and diabetes management and outcomes.
To analyze cross-sectionally the associations of family structure with type 1 diabetes (T1D) management and various diabetes outcomes.
1,635 11- to 17-year-old participants and their parents completed one of three baseline surveys as part of a nationwide, population-based cohort study on early-onset, long-standing T1D. Associations between family structure and outcome variables were analyzed by multivariable linear/logistic regression.
Compared to adolescents living with both parents (reference), HbA1c was 0.48% (95% confidence interval 0.24; 0.71) / 5.2 (2.6; 7.8) mmol/mol higher in adolescents living with one parent and 0.34% (0.08; 0.59) / 3.7 (0.9; 6.5) mmol/mol higher in those living with one parent and her/his partner. The blood glucose self-monitoring (SMBG) frequency was lower (single parent: -0.6 (-1.1; -0.2), parent and partner:-0.5 (-1.0; 0.0)) and parents reported more long-term consequences related to school or work (ORsingle-parent 1.52 (0.90; 2.57), ORparent+partner 1.50 (0.86; 2.60)). While living with one parent was associated with increased odds of insulin injection vs. insulin pump therapy (OR 1.61 (1.13; 2.29), the odds of low hypoglycemia awareness (OR 1.75 (1.00; 3.08)) and diabetes complications (1.32 (0.78; 2.22)) were higher in people living with a parent and her/his partner.
Living with only one parent with or without a new partner was associated with less SMBG and pump use and poor diabetes outcomes. Future studies to explore the underlying mechanisms are required. This article is protected by copyright. All rights reserved.
This article is protected by copyright. All rights reserved.
",Double click,ObservationalStudy,2020.0,Denmark,Done
"Use of insulin pump therapy is associated with reduced hospital-days in the long-term: a real-world study of 48,756 pediatric patients with type 1 diabetes.",[Pubmed](https://pubmed.ncbi.nlm.nih.gov/33258970/),"
In pediatric diabetes, insulin pump therapy is associated with less acute complications but inpatient pump education may lead to more hospital days. We investigated the number of hospital days associated with pump vs. injection therapy between 2009 and 2018 in 48,756 patients with type 1 diabetes < 20 years of age from the German Diabetes Prospective Follow-up Registry (DPV). Analyses were performed separately for hospitalizations at diagnosis (hierarchical linear models adjusted for sex, age, and migration), and for hospitalizations in the subsequent course of the disease (hierarchical Poisson models stratified by sex, age, migration, and therapy switch). At diagnosis, the length of hospital stay was longer with pump therapy than with injection therapy (mean estimate with 95% CI: 13.6 [13.3-13.9] days vs. 12.8 [12.5-13.1] days, P < 0.0001), whereas during the whole follow-up beyond diagnosis, the number of hospital days per person-year (/PY) was higher with injection therapy than with pump therapy (4.4 [4.1-4.8] vs. 3.9 [3.6-4.2] days/PY), especially for children under 5 years of age (4.9 [4.4-5.6] vs. 3.5 [3.1-3.9] days/PY).Conclusions: Even in countries with hospitalizations at diabetes diagnosis of longer duration, the use of pump therapy is associated with a reduced number of hospital days in the long-term. What is known: • In pediatric diabetes, insulin pump therapy is associated with better glycemic control and less acute complications compared with injection therapy. • However, pump therapy implies more costs and resources for education and management. What is new: • Even in countries where pump education is predominantly given in an inpatient setting, the use of pump therapy is associated with a reduced number of hospital days in the long-term. • Lower rates of hospitalization due to acute complications during the course of the disease counterbalance longer hospitalizations due to initial pump education.
",Double click,ObservationalStudy,2020.0,,Done
"Early versus delayed insulin pump therapy in children with newly diagnosed type 1 diabetes: results from the multicentre, prospective diabetes follow-up DPV registry.",[Pubmed](https://pubmed.ncbi.nlm.nih.gov/33253630/),"
Although continuous subcutaneous insulin infusion therapy (ie, insulin pump therapy) is associated with improved metabolic control compared with multiple daily insulin injections in children with type 1 diabetes, it is unclear when it is best to start it after diagnosis. In this study, we aimed to compare the outcomes between early and delayed start of insulin pump therapy in young patients with type 1 diabetes.
We based the current study on data from the multicentre, prospective diabetes follow-up registry (ie, Diabetes-Patienten-Verlaufsdokumentation [DPV]). The DPV registry comprises 501 diabetes centres from Germany, Austria, Switzerland, and Luxembourg. We included patients diagnosed with type 1 diabetes between 2004 and 2014, who were aged between 6 months and 15 years at the time of diagnosis, who had started insulin pump therapy either within the first 6 months (ie, the early treatment group) or in the second to third year (ie, the delayed treatment group) after diabetes diagnosis, and who were treated with insulin pump therapy for at least 1 year. The outcome parameters included the glycated haemoglobin (HbA1c) values, the cardiovascular risk profile, and rates of acute complications and diabetes-associated hospital admissions (ie, hospitalisation) during the most recent documented treatment year with insulin pump therapy. Statistical models were adjusted for age at diabetes diagnosis, year of diagnosis, sex, immigrant background, use of continuous glucose monitoring, centre size, and the German Index of Socioeconomic Deprivation 2012 terciles.
Our study sample comprised 8332 patients from 311 diabetes centres in Germany, Austria, Switzerland, and Luxembourg. The early treatment group consisted of 4004 (48·1%) of 8332 patients, and the delayed treatment group consisted of 4328 (51·9%). The median diabetes duration during follow-up was 6·7 years (IQR 5·1-8·7 in the early group; 5·0-8·7 in the delayed group) in both groups. Patients with early initiation of insulin pump therapy compared with those with delayed initiation of insulin pump therapy had significantly lower estimated mean HbA1c values (7·9% [95% CI 7·8-7·9] and 62·6 mmol/mol [95% CI 62·1-63·2] vs 8·0% [8·0-8·1] and 64·1 mmol/mol [63·6-64·6]; p=0·0006), and lower rates of hypoglycaemic coma (incidence risk ratio 0·44 [95% CI 0·24-0·79]; p=0·0064) and hospitalisation (0·86 [95% CI 0·78-0·94]; p=0·0016). A better cardiovascular risk profile was observed in patients with early initiation of insulin pump therapy than in those with delayed initiation: an estimated mean systolic blood pressure of 117·6 mm Hg (95% CI 117·2-117·9) versus 118·5 mm Hg (118·2-118·9), p=0·0007; and HDL cholesterol of 62·8 mg/dL (95% CI 62·2-63·5) versus 60·6 mg/dL (60·0-61·2), p<0·0001; however, diastolic blood pressure; concentrations of LDL cholesterol, non-HDL cholesterol, and triglycerides; and estimated body-mass index standard deviation scores during follow-up did not differ significantly between both groups.
Our findings provide evidence for improved clinical outcomes associated with the early initiation of insulin pump therapy in children with type 1 diabetes.
The German Center for Diabetes Research (Deutsches Zentrum für Diabetesforschung), German Robert Koch Institute, German Diabetes Association, and Diabetes Agenda 2010.
Copyright © 2020 Elsevier Ltd. All rights reserved.
",Double click,ObservationalStudy,2020.0,England,Done
Prediction of Individual Basal Rate Profiles From Patient Characteristics in Type 1 Diabetes on Insulin Pump Therapy.,[Pubmed](https://pubmed.ncbi.nlm.nih.gov/33251851/),"
Basal rate profiles in patients with type 1 diabetes on insulin pump therapy are subject to enormous inter-individual heterogeneity. Tools to predict basal rates based on clinical characteristics may facilitate insulin pump therapy.
Data from 339 consecutive in-patients with adult type 1 diabetes on insulin pump therapy were collected. Basal rate tests were performed over 24 hours. A mathematical algorithm to predict individual basal rate profiles was generated by relating the individual insulin demand to selected clinical characteristics in an exploratory cohort of 170 patients. The predicted insulin pump profiles were validated in a confirmatory cohort of 169 patients.
Basal rates (0.27 ± 0.01 IU.d-1.kg-1) showed circadian variations with peaks corresponding to the ""dawn"" and ""dusk"" phenomena. Age, gender, duration of pump treatment, body-mass-index, HbA1c, and triacylglycerol concentrations largely predicted the individual basal insulin demand per day (IU/d; exploratory vs prospective cohorts: r2 = 0.518, P < .0001). Model-predicted and actual basal insulin rates were not different (exploratory cohort: Δ 0.1 (95% CI -0.9; 1.0 U/d; P = .95; prospective cohort: Δ -0.5 (95% CI -1.5; 0.6 IU/d; P = .46). Similarly, precise predictions were possible for each hour of the day. Actual and predicted ""dawn"" index correlated significantly in the exploratory but not in the confirmatory cohort.
Clinical characteristics predict 52% of the variation in individual basal rate profiles, including their diurnal fluctuations. The multivariate regression model can be used to initiate or optimize insulin pump treatment in patients with type 1 diabetes.
",Double click,ObservationalStudy,2020.0,United States,Done
Fear of hypoglycemia in children with type 1 diabetes and their parents: Effect of pump therapy and continuous glucose monitoring with option of low glucose suspend in the CGM TIME trial.,[Pubmed](https://pubmed.ncbi.nlm.nih.gov/33179818/),"
To determine if pump therapy with continuous glucose monitoring offering low glucose suspend (LGS) decreases fear of hypoglycemia among children with type 1 diabetes and their parents. The CGM TIME trial is a multicenter randomized controlled trial that enrolled 144 children with type 1 diabetes for at least 1 year (mean duration 3.4 ± 3.1 years) starting pump therapy (MiniMed™ Veo™, Medtronic Canada). CGM (MiniMed™ Enlite™ sensor) offering LGS was introduced simultaneously or delayed for 6 months. Hypoglycemia Fear Scale (HFS) was completed by children ≥10 years old and all parents, at study entry and 12 months later. Simultaneous and Delayed Group participants were combined for all analyses. Subscale scores were compared with paired t-tests, and individual items with paired Wilcoxon tests. Linear regression examined association with CGM adherence. 121/140 parents and 91/99 children ≥10 years had complete data. Mean Behavior subscale score decreased from 21.1 (SD 5.9) to 17.2 (SD 6.1) (p < .001) for children, and 20.7 (SD 7.5) to 17.4 (7.4) (p < .001) for parents. Mean Worry subscale score decreased from 17.9 (SD 11.9) to 11.9 (SD 11.4) (p < .001) for children, and 23.1 (SD 13.2) to 17.6 (SD 10.4) (p < .001) for parents. Median scores for 10/25 child items and 12/25 parent items were significantly lower at 12 months (p < .001). Linear regression found no association between HFS scores and CGM adherence. Insulin pump therapy with CGM offering LGS significantly reduced fear of hypoglycemia not related to CGM adherence in children with type 1 diabetes and their parents.
© 2020 The Authors. Pediatric Diabetes published by John Wiley & Sons Ltd.
",Double click,ObservationalStudy,2020.0,,Done
Insulin Edema With Use of U-500 Regular Insulin in a Hybrid Closed-Loop Insulin Pump.,[Pubmed](https://pubmed.ncbi.nlm.nih.gov/33178538/),"
Insulin edema is a rare complication of insulin therapy which has been described in known or newly diagnosed people with diabetes, following initiation or intensification of insulin treatment. Here we present a 63-year-old man with complaints of weight gain, shortness of breath, and lower extremity edema starting two weeks after the change of his insulin pump to the hybrid closed-loop insulin pump system and substitution of U-100 aspart insulin with U-500 regular insulin. Laboratory studies, imaging, and electrocardiogram (EKG) were performed to evaluate the cause of acute edema and were all normal. Hemoglobin A1C showed remarkable improvement after the pump change and the insulin pump download showed a significant increase in the amount of total daily insulin administered. With the exclusion of other causes of acute edema, the patient was diagnosed with insulin edema. He was started on spironolactone 50 mg/daily and showed a desirable improvement of edema on follow-up.  This case shows that although the use of the hybrid insulin-pump system helps to obtain better control of diabetes in many patients, the rapid improvement in glycemic control may precipitate the development of insulin edema. Furthermore, the use of high concentration insulin in insulin pumps is off-label and their use might increase the rate of complications of insulin therapy including insulin edema.
Copyright © 2020, Vasigh et al.
",Double click,ObservationalStudy,2020.0,United States,Done
"Glycemic, maternal and neonatal outcomes in women with type 1 diabetes using continuous glucose monitoring during pregnancy - pump vs multiple daily injections, a secondary analysis of an observational cohort study.",[Pubmed](https://pubmed.ncbi.nlm.nih.gov/33176006/),"
Continuous glucose monitoring (CGM) provides detailed information about glucose level fluctuations over time. The method is increasingly being used in pregnant women with type 1 diabetes. However, only one previous study has compared CGM results related to pregnancy outcomes in women using insulin pumps with those administering multiple daily injections (MDI). We performed a secondary analysis of CGM metrics from an observational cohort of pregnant women with type 1 diabetes and compared insulin pump and MDI therapies in relation to maternal and neonatal outcomes.
The study included 185 pregnant Swedish women with type 1 diabetes undergoing CGM throughout pregnancy. Women were divided according to insulin administration mode, ie MDI (n=131) or pump (n=54). A total of 91 women used real-time CGM and 94 women used intermittently viewed CGM. Maternal demographics and maternal and neonatal outcome data were collected from medical records. CGM data were analyzed according to predefined glycemic indices: mean glucose; standard deviation; percentage of time within, below and above glucose target range; mean amplitude of glycemic excursion; high and low glucose indices and coefficient variation in percent. Associations between insulin administration mode and CGM data, on the one hand, and maternal and neonatal outcomes, on the other, were analyzed with analysis of covariance and logistic regression, respectively, adjusted for confounders.
There were no differences in maternal characteristics or glycemic indices between the MDI and pump groups, except longer duration of type 1 diabetes and higher frequencies of microangiopathy and eal-time CGM among pump users. Despite improvement with each trimester, glucose levels remained suboptimal throughout pregnancy in both groups. There were no differences between the MDI and pump groups concerning the respective associations with any of the outcomes. The frequency of large for gestational age was high in both groups (MDI 49% vs pump 63%) and did not differ significantly.
Pregnant women with type 1 diabetes did not differ, in glycemic control or pregnancy outcome, related to MDI or pump administration of insulin. Glycemic control remained suboptimal throughout pregnancy, regardless of insulin administration mode.
This article is protected by copyright. All rights reserved.
",Double click,ObservationalStudy,2020.0,United States,Done
